OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
221704257879194,13087,ZCTA5 13087,2458012,565110,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,2458012,565110
221704257879199,13088,ZCTA5 13088,21578630,4739489,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,16477832,2409346
221704257879199,13088,ZCTA5 13088,21578630,4739489,G6350,B5,S,280901392190529,3628035,Galeville CDP,3245228,2328676,G4210,U1,S,3245228,2328676
221704257879199,13088,ZCTA5 13088,21578630,4739489,G6350,B5,S,278901392190544,3642884,Liverpool village,1946367,1467,G4110,C1,A,1855570,1467
221704257879204,13090,ZCTA5 13090,37849463,340910,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,37758666,340910
221704257879204,13090,ZCTA5 13090,37849463,340910,G6350,B5,S,278901392190544,3642884,Liverpool village,1946367,1467,G4110,C1,A,90797,0
221704257879205,13092,ZCTA5 13092,129310106,253897,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,129310106,253897
221704257879206,13101,ZCTA5 13101,99423634,14017,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,96712499,14017
221704257879206,13101,ZCTA5 13101,99423634,14017,G6350,B5,S,280903926956196,3606937,Blodgett Mills CDP,5630685,0,G4210,U1,S,154875,0
221704257879206,13101,ZCTA5 13101,99423634,14017,G6350,B5,S,27890722549866,3644193,McGraw village,2556260,0,G4110,C1,A,2556260,0
221704257879207,13102,ZCTA5 13102,150734,2922,G6350,B5,S,2809015682381965,3644358,McLean CDP,599627,8429,G4210,U1,S,150734,2922
221704257879208,13103,ZCTA5 13103,1008432,0,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,1008432,0
221704257879212,13104,ZCTA5 13104,123527635,100915,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,118811856,100915
221704257879212,13104,ZCTA5 13104,123527635,100915,G6350,B5,S,278901392190545,3645018,Manlius village,4715779,0,G4110,C1,A,4715779,0
221704257879214,13108,ZCTA5 13108,77047816,169624,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,75392235,169624
221704257879214,13108,ZCTA5 13108,77047816,169624,G6350,B5,S,278901392190546,3645480,Marcellus village,1655581,0,G4110,C1,A,1655581,0
221704257879216,13110,ZCTA5 13110,62488856,8351612,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,62488856,8351612
221704257879217,13111,ZCTA5 13111,70916327,241184,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,70916327,241184
221704257879218,13112,ZCTA5 13112,52695756,3629665,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,52695756,3629665
221704257879219,13113,ZCTA5 13113,90280,0,G6350,B5,S,27890708087601,3646646,Meridian village,1789035,0,G4110,C1,A,90280,0
221704257879222,13114,ZCTA5 13114,163246392,2120929,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,157691629,2120929
