county,zip,state,n
ALBANY,12205,NY,5740
ALBANY,12206,NY,1285
ALBANY,12207,NY,767
ALBANY,12208,NY,2254
ALBANY,12209,NY,928
ALBANY,12210,NY,662
ALBANY,12211,NT,1
ALBANY,12211,NY,2435
ALBANY,12212,NY,70
ALBANY,12220,NY,50
ALBANY,12222,NY,43
ALBANY,12223,NY,28
ALBANY,12224,NY,8
ALBANY,12226,NY,220
ALBANY,12227,NY,1
ALBANY,12228,NY,61
ALBANY,12229,NY,88
ALBANY,12230,NY,3
ALBANY,12231,NY,17
ALBANY,12232,NY,141
ALBANY,12233,NY,71
ALBANY,12234,NY,2
ALBANY,12235,NY,22
ALBANY,12236,NY,2
ALBANY,12237,NY,8
ALBANY,12238,NY,14
ALBANY,12239,NY,14
ALBANY,12246,NY,6
ALBANY,12247,NY,3
ALBANY,12250,NY,2
ALBANY,12271,NY,1
ALBANY,12280,NY,1
ALBANY,12288,NY,1
ALBANY,12302,NY,6
ALBANY,12303,NY,771
ALBANY,12304,NY,234
ALBANY,12305,NY,1
ALBANY,12306,NY,62
ALBANY,12307,NY,5
ALBANY,12308,NY,1
ALBANY,12309,NY,353
ALBANY,12310,NY,1
ALBANY,12325,NY,1
ALBANY,12401,NY,4
ALBANY,12404,NY,1
ALBANY,12405,NY,1
ALBANY,12407,NY,1
ALBANY,12414,NY,1
ALBANY,12428,NY,1
ALBANY,12440,NY,1
ALBANY,12441,NY,1
ALBANY,12451,NY,1
ALBANY,12459,NY,2
ALBANY,12460,NY,6
ALBANY,12463,NY,1
ALBANY,12466,NY,1
ALBANY,12469,NY,97
ALBANY,12474,NY,1
ALBANY,12477,NY,1
ALBANY,12495,NY,1
ALBANY,12496,NY,1
ALBANY,12513,NY,1
ALBANY,12516,NY,1
ALBANY,12526,NY,1
ALBANY,12528,NY,1
ALBANY,12534,NY,1
ALBANY,12538,NY,1
ALBANY,12542,NY,1
ALBANY,12550,NY,4
ALBANY,12553,NY,1
ALBANY,12563,NY,1
ALBANY,12572,NY,1
ALBANY,12580,NY,1
ALBANY,12589,NY,1
ALBANY,12601,NY,3
ALBANY,12603,NY,1
ALBANY,12775,NY,1
ALBANY,12789,NY,1
ALBANY,12804,NY,4
ALBANY,12816,NY,1
ALBANY,12828,NY,1
ALBANY,12831,NY,2
ALBANY,12834,NY,2
ALBANY,12846,NY,1
ALBANY,12850,NY,1
ALBANY,12866,NY,4
ALBANY,12871,NY,1
ALBANY,12983,NY,1
ALBANY,12996,NY,1
ALBANY,13021,NY,2
ALBANY,13027,NY,2
ALBANY,13031,NY,1
ALBANY,13032,NY,1
ALBANY,13033,NY,1
ALBANY,13035,NY,1
ALBANY,13054,NY,1
ALBANY,13066,NY,1
ALBANY,13069,NY,1
ALBANY,13074,NY,1
ALBANY,13077,NY,1
ALBANY,13082,NY,1
ALBANY,13141,NY,1
ALBANY,13215,NY,1
ALBANY,13219,NY,1
ALBANY,13348,NY,1
ALBANY,13350,NY,1
ALBANY,13357,NY,1
ALBANY,13460,NY,1
ALBANY,13489,NY,1
ALBANY,13502,NY,1
ALBANY,13601,NY,1
ALBANY,13624,NY,1
ALBANY,13810,NY,1
ALBANY,13815,NY,1
ALBANY,13827,NY,1
ALBANY,13901,NY,1
ALBANY,13932,NY,1
ALBANY,14005,NY,1
ALBANY,14009,NY,1
ALBANY,14062,NY,1
ALBANY,14075,NY,2
ALBANY,14085,NY,1
ALBANY,14086,NY,1
ALBANY,14212,NY,1
ALBANY,14219,NY,1
ALBANY,14221,NY,2
ALBANY,14224,NY,1
ALBANY,14226,NY,1
ALBANY,14227,NY,1
ALBANY,14228,NY,3
ALBANY,14404,NY,1
ALBANY,14411,NY,1
ALBANY,14468,NY,1
ALBANY,14482,NY,1
ALBANY,14516,NY,1
ALBANY,14525,NY,1
ALBANY,14612,NY,2
ALBANY,14613,NY,1
ALBANY,14616,NY,1
ALBANY,14727,NY,1
ALBANY,14739,NY,1
ALBANY,14850,NY,1
ALBANY,14883,NY,1
ALBANY,14904,NY,1
ALBANY,19154,PA,1
ALBANY,19335,PA,1
ALBANY,21117,MD,26
ALBANY,21230,MD,1
ALBANY,23320,VA,1
ALBANY,30132,GA,1
ALBANY,30308,GA,6
ALBANY,31088,GA,1
ALBANY,33309,FL,2633
ALBANY,35242,AL,1
ALBANY,37923,TN,19
ALBANY,45226,OH,1
ALBANY,46037,IN,4
ALBANY,48126,MI,3
ALBANY,53718,WI,4
ALBANY,54956,WI,20
ALBANY,60015,IL,1
ALBANY,60016,IL,11
ALBANY,60048,IL,9
ALBANY,60069,IL,1
ALBANY,60143,IL,1
ALBANY,60173,IL,16
ALBANY,60196,IL,1
ALBANY,61710,IL,1
ALBANY,65801,MO,1
ALBANY,72403,AR,1
ALBANY,72917,AR,3
ALBANY,77034,TX,18
ALBANY,77842,TX,1
ALBANY,80021,CO,2
CATTARAUGUS,08054,NJ,1
CATTARAUGUS,10549,NY,1
CATTARAUGUS,11787,NY,1
CATTARAUGUS,12065,NY,2
CATTARAUGUS,12207,NY,48
CATTARAUGUS,12232,NY,9
CATTARAUGUS,12233,NY,19
CATTARAUGUS,13034,NY,1
CATTARAUGUS,14009,NY,52
CATTARAUGUS,14030,NY,17
CATTARAUGUS,14032,NY,1
CATTARAUGUS,14033,NY,1
CATTARAUGUS,14034,NY,1
CATTARAUGUS,14041,NY,12
CATTARAUGUS,14042,NY,445
CATTARAUGUS,14047,NY,1
CATTARAUGUS,14048,NY,4
CATTARAUGUS,14060,NY,68
CATTARAUGUS,14062,NY,1
CATTARAUGUS,14063,NY,1
CATTARAUGUS,14064,NY,1
CATTARAUGUS,14065,NY,214
