NAME,P1_001N,state,place
"East Massapequa CDP, New York",19854,36,22480
"East Meadow CDP, New York",37796,36,22502
"East Moriches CDP, New York",5946,36,22546
"East Nassau village, New York",559,36,22557
"East Northport CDP, New York",20048,36,22612
"East Norwich CDP, New York",2792,36,22623
"East Patchogue CDP, New York",21580,36,22733
"Eastport CDP, New York",2219,36,22810
"East Quogue CDP, New York",5557,36,22832
"East Randolph CDP, New York",571,36,22843
"East Rochester village, New York",6334,36,22865
"East Rockaway village, New York",10159,36,22876
"East Setauket CDP, New York",10998,36,22964
"East Shoreham CDP, New York",6841,36,22980
"East Syracuse village, New York",3078,36,23052
"East Williston village, New York",2645,36,23217
"East Worcester CDP, New York",327,36,23283
"Eatons Neck CDP, New York",1334,36,23316
"Eden CDP, New York",3346,36,23404
"Edmeston CDP, New York",592,36,23602
"Edwards CDP, New York",361,36,23635
"Frankfort village, New York",2320,36,27188
"Franklin village, New York",258,36,27221
"Franklin Square CDP, New York",30903,36,27309
"Franklinville village, New York",1652,36,27331
"Fredonia village, New York",9585,36,27419
"Freedom Plains CDP, New York",438,36,27452
"Freeport village, New York",44472,36,27485
"Freeville village, New York",498,36,27529
"Frewsburg CDP, New York",1843,36,27672
"Friendship CDP, New York",1085,36,27694
"Fulton city, New York",11389,36,27815
"Fultonville village, New York",742,36,27859
"Gainesville village, New York",211,36,27969
"Galeville CDP, New York",4482,36,28035
"Galway village, New York",165,36,28101
"Gananda CDP, New York",5867,36,28138
"Gang Mills CDP, New York",4261,36,28145
"Garden City village, New York",23272,36,28178
"Garden City Park CDP, New York",7985,36,28189
"Garden City South CDP, New York",4119,36,28200
"Gardiner CDP, New York",952,36,28244
"Gardnertown CDP, New York",4542,36,28310
"Garrattsville CDP, New York",120,36,28376
"Gasport CDP, New York",1296,36,28431
"Gates CDP, New York",4956,36,28453
"Geneseo village, New York",7574,36,28618
"Geneva city, New York",12812,36,28640
"Germantown CDP, New York",1121,36,28761
"Ghent CDP, New York",623,36,28860
"Gilbertsville village, New York",308,36,28959
"Gilgo CDP, New York",185,36,28990
"Glasco CDP, New York",2013,36,29014
"Glen Aubrey CDP, New York",446,36,29058
"Glen Cove city, New York",28365,36,29113
"Glen Head CDP, New York",4837,36,29245
"Glen Park village, New York",452,36,29322
"Glens Falls city, New York",14830,36,29333
"Glens Falls North CDP, New York",9530,36,29338
"Glenwood Landing CDP, New York",3948,36,29421
"Gloversville city, New York",15131,36,29443
"Golden's Bridge CDP, New York",1628,36,29476
"Gordon Heights CDP, New York",3981,36,29509
"Gorham CDP, New York",604,36,29520
"Goshen village, New York",5777,36,29542
"Gouverneur village, New York",3526,36,29597
"Gowanda village, New York",2513,36,29630
"Grahamsville CDP, New York",360,36,29707
"Grand View-on-Hudson village, New York",246,36,29872
"Grandyle Village CDP, New York",4805,36,29894
"Granville village, New York",2404,36,30026
"Great Bend CDP, New York",807,36,30136
"Great Neck village, New York",11145,36,30169
"Great Neck Estates village, New York",2990,36,30191
"Great Neck Gardens CDP, New York",1268,36,30202
"Great Neck Plaza village, New York",7482,36,30213
"Great River CDP, New York",2005,36,30235
"Accord CDP, New York",573,36,00155
"Adams village, New York",1633,36,00199
"Adams Center CDP, New York",1492,36,00232
"Addison village, New York",1561,36,00276
"Afton village, New York",794,36,00342
"Airmont village, New York",10166,36,00408
"Akron village, New York",2888,36,00441
"Akwesasne CDP, New York",4527,36,00457
"Albany city, New York",99224,36,01000
"Albertson CDP, New York",5220,36,01011
"Albion village, New York",5637,36,01033
"Alden village, New York",2604,36,01088
"Alexander village, New York",518,36,01154
"Alexandria Bay village, New York",924,36,01187
"Alfred village, New York",4026,36,01198
"Allegany village, New York",1544,36,01286
"Almond village, New York",415,36,01440
"Altamont village, New York",1675,36,01517
"Altmar CDP, New York",357,36,01550
"Altona CDP, New York",662,36,01572
"Amagansett CDP, New York",1824,36,01594
"Amenia CDP, New York",725,36,01682
"Ames village, New York",138,36,01737
"Amityville village, New York",9500,36,02044
"Amsterdam city, New York",18219,36,02066
"Andes CDP, New York",189,36,02121
"Andover village, New York",890,36,02143
"Angelica village, New York",723,36,02176
"Angola village, New York",2046,36,02198
"Angola on the Lake CDP, New York",1481,36,02220
"Antwerp village, New York",506,36,02286
"Apalachin CDP, New York",2632,36,02308
"Aquebogue CDP, New York",2547,36,02374
"Arcade village, New York",1908,36,02407
"Ardsley village, New York",5079,36,02506
"Argyle village, New York",289,36,02550
"Arkport village, New York",745,36,02583
"Arlington CDP, New York",3010,36,02616
"Armonk CDP, New York",4495,36,02649
"Asharoken village, New York",592,36,02737
"Athens village, New York",1586,36,02902
"Atlantic Beach village, New York",1707,36,02968
"Eggertsville CDP, New York",15561,36,23701
"Elba village, New York",558,36,23745
"Elbridge village, New York",921,36,23789
"Eldred CDP, New York",212,36,23811
"Elizabethtown CDP, New York",746,36,23822
"Ellenville village, New York",4167,36,23965
"Ellicottville village, New York",256,36,24020
"Ellisburg village, New York",186,36,24075
"Elma Center CDP, New York",2851,36,24141
"Elmira city, New York",26523,36,24229
"Elmira Heights village, New York",3916,36,24251
"Elmont CDP, New York",35265,36,24273
"Elmsford village, New York",5239,36,24295
"Elwood CDP, New York",11426,36,24405
"Endicott village, New York",13667,36,24515
"Endwell CDP, New York",11762,36,24526
"Erin CDP, New York",367,36,24625
"Esperance village, New York",346,36,24713
"Evans Mills village, New York",678,36,24823
"Fabius village, New York",309,36,24867
"Fair Haven village, New York",760,36,24988
"Fairmount CDP, New York",10248,36,25043
"Fairport village, New York",5501,36,25076
"Fairview CDP (Dutchess County), New York",5475,36,25109
"Fairview CDP (Westchester County), New York",3217,36,25120
"Falconer village, New York",2269,36,25164
"Fallsburg CDP, New York",1862,36,25230
