NAME,P1_001N,state,place
"Madison village, New York",311,36,44424
"Madrid CDP, New York",736,36,44479
"Mahopac CDP, New York",8932,36,44534
"Malden-on-Hudson CDP, New York",365,36,44677
"Malone village, New York",5483,36,44710
"Lido Beach CDP, New York",2719,36,42279
"Malverne village, New York",8560,36,44787
"Malverne Park Oaks CDP, New York",538,36,44792
"Mamaroneck village, New York",20151,36,44831
"Manchester village, New York",1640,36,44853
"Manhasset CDP, New York",8176,36,44897
"Manhasset Hills CDP, New York",3649,36,44908
"Manlius village, New York",4662,36,45018
"Mannsville village, New York",297,36,45073
"Manorhaven village, New York",6956,36,45106
"Manorville CDP, New York",14317,36,45139
"Marathon village, New York",892,36,45392
"Marcellus village, New York",1745,36,45480
"Marcy CDP, New York",650,36,45524
"Margaretville village, New York",514,36,45557
"Morris village, New York",486,36,48483
"Morrisonville CDP, New York",1893,36,48538
"Morristown village, New York",398,36,48571
"Morrisville village, New York",1633,36,48593
"Mountain Dale CDP, New York",633,36,48736
"Mountain Lodge Park CDP, New York",1910,36,48750
"Mount Ivy CDP, New York",7657,36,48879
"Mount Kisco village, New York",10959,36,48890
"Mount Morris village, New York",2898,36,48945
"Mount Sinai CDP, New York",11623,36,49066
"Mount Vernon city, New York",73893,36,49121
"Mount Vision CDP, New York",171,36,49143
"Munnsville village, New York",454,36,49220
"Munsey Park village, New York",2809,36,49231
"Munsons Corners CDP, New York",2814,36,49242
"Muttontown village, New York",3512,36,49330
"Myers Corner CDP, New York",10598,36,49363
"Nanuet CDP, New York",18886,36,49407
"Napanoch CDP, New York",1131,36,49418
"Napeague CDP, New York",368,36,49424
"Naples village, New York",931,36,49429
"Narrowsburg CDP, New York",379,36,49473
"Nassau village, New York",1103,36,49506
"Nassau Lake CDP, New York",1004,36,49555
"Natural Bridge CDP, New York",296,36,49605
"Nazareth College CDP, New York",1182,36,49715
"Nedrow CDP, New York",2095,36,49726
"Nelliston village, New York",555,36,49748
"Nelsonville village, New York",624,36,49781
"Nesconset CDP, New York",13207,36,49825
"Newark village, New York",9017,36,49891
"Newark Valley village, New York",928,36,49902
"New Baltimore CDP, New York",546,36,49924
"New Berlin village, New York",901,36,49946
"Newburgh city, New York",28856,36,50034
"New Cassel CDP, New York",14199,36,50067
"New City CDP, New York",34135,36,50100
"Newfane CDP, New York",3662,36,50221
"Newfield CDP, New York",725,36,50243
"New Hackensack CDP, New York",1497,36,50265
"New Hamburg CDP, New York",842,36,50276
"Moriches CDP, New York",3026,36,48450
"New Hartford village, New York",1859,36,50298
"New Hempstead village, New York",5463,36,50353
"New Hyde Park village, New York",10257,36,50397
"New Paltz village, New York",7324,36,50551
"Newport village, New York",543,36,50573
"New Rochelle city, New York",79726,36,50617
"New Square village, New York",9679,36,50705
"New Suffolk CDP, New York",403,36,50727
"New Windsor CDP, New York",8882,36,50837
"New York city, New York",8804190,36,51000
"New York Mills village, New York",3244,36,51011
"Niagara Falls city, New York",48671,36,51055
"Niagara University CDP, New York",940,36,51088
"Nichols village, New York",457,36,51110
"Old Forge CDP, New York",727,36,54639
"Old Westbury village, New York",4289,36,54705
"Olean city, New York",13937,36,54716
"Oneida city, New York",10329,36,54837
"Oneida Castle village, New York",586,36,54848
"Oneonta city, New York",13079,36,54881
"Ontario CDP, New York",2215,36,55002
"Orangeburg CDP, New York",4565,36,55167
"Orange Lake CDP, New York",9770,36,55189
"Orchard Park village, New York",3108,36,55266
"Orient CDP, New York",999,36,55321
"Oriskany village, New York",1315,36,55365
"Oriskany Falls village, New York",658,36,55376
"Ossining village, New York",27551,36,55530
"Oswego city, New York",16921,36,55574
"Otego village, New York",875,36,55618
"Otisville village, New York",969,36,55673
"Otter Lake CDP, New York",109,36,55750
"Ovid village, New York",534,36,55816
"Owego village, New York",3654,36,55882
"Oxbow CDP, New York",85,36,55937
"Oxford village, New York",1330,36,55948
"Oyster Bay CDP, New York",7049,36,55992
"Oyster Bay Cove village, New York",2265,36,56011
"Painted Post village, New York",1768,36,56088
"Palatine Bridge village, New York",796,36,56110
"Palenville CDP, New York",1002,36,56132
"Palmyra village, New York",3305,36,56187
"Pamelia Center CDP, New York",471,36,56212
"Panama village, New York",475,36,56231
"Parc CDP, New York",197,36,56291
"Parish village, New York",447,36,56341
"Parishville CDP, New York",642,36,56363
"Patchogue village, New York",12408,36,56660
"Paul Smiths CDP, New York",411,36,56770
"Pavilion CDP, New York",664,36,56781
"Pawling village, New York",1995,36,56814
"Peach Lake CDP, New York",1885,36,56869
"Pearl River CDP, New York",16567,36,56902
"Peconic CDP, New York",692,36,56968
"Peekskill city, New York",25431,36,56979
"Pelham village, New York",7326,36,57001
"Pelham Manor village, New York",5752,36,57023
"Penn Yan village, New York",5056,36,57177
"Perry village, New York",3536,36,57243
"Perrysburg CDP, New York",346,36,57287
"Peru CDP, New York",1843,36,57364
"Phelps village, New York",1851,36,57518
"Philadelphia village, New York",1098,36,57551
"Philmont village, New York",1377,36,57639
"Phoenicia CDP, New York",268,36,57650
"Phoenix village, New York",2226,36,57661
"Piermont village, New York",2517,36,57749
"Pierrepont Manor CDP, New York",212,36,57782
"Piffard CDP, New York",208,36,57804
"Pike CDP, New York",298,36,57815
"Pine Bush CDP, New York",1751,36,57980
"Pine Hill CDP, New York",275,36,58057
"Pine Plains CDP, New York",1142,36,58145
"Pine Valley CDP, New York",832,36,58189
"Pittsford village, New York",1419,36,58354
"Plainedge CDP, New York",9517,36,58409
"Plainview CDP, New York",27100,36,58442
"Plandome village, New York",1448,36,58475
"Plandome Heights village, New York",1009,36,58486
"Plandome Manor village, New York",793,36,58497
"Plattekill CDP, New York",1296,36,58541
"Plattsburgh city, New York",19841,36,58574
"Plattsburgh West CDP, New York",1382,36,58601
"Pleasant Valley CDP, New York",1603,36,58684
"Pleasantville village, New York",7513,36,58728
"Plessis CDP, New York",126,36,58739
"Poestenkill CDP, New York",1020,36,58794
"Point Lookout CDP, New York",1527,36,58849
"Poland village, New York",464,36,58937
"Pomona village, New York",3824,36,58992
"Poquott village, New York",903,36,59157
"Port Byron village, New York",1101,36,59212
"Port Chester village, New York",31693,36,59223
"Port Dickinson village, New York",1699,36,59245
"Port Ewen CDP, New York",3678,36,59311
"Port Gibson CDP, New York",405,36,59322
"Port Henry CDP, New York",1150,36,59333
"Port Jefferson village, New York",7962,36,59355
"Port Jefferson Station CDP, New York",7950,36,59377
"Port Jervis city, New York",8775,36,59388
"Portlandville CDP, New York",177,36,59443
"Port Leyden village, New York",554,36,59454
"Portville village, New York",892,36,59498
"Port Washington CDP, New York",16753,36,59520
"Port Washington North village, New York",3160,36,59531
"Potsdam village, New York",8312,36,59564
"Pottersville CDP, New York",359,36,59619
"Poughkeepsie city, New York",31577,36,59641
"Prattsburgh CDP, New York",589,36,59708
"Prattsville CDP, New York",384,36,59740
"Preston-Potter Hollow CDP, New York",367,36,59831
"Prospect CDP, New York",248,36,59883
"Pulaski village, New York",2186,36,59960
"Pultneyville CDP, New York",817,36,59993
"Putnam Lake CDP, New York",3776,36,60103
"Quiogue CDP, New York",1013,36,60408
"Quogue village, New York",1662,36,60422
"Radisson CDP, New York",7038,36,60455
"Randolph CDP, New York",1297,36,60576
"Ransomville CDP, New York",1316,36,60598
"Rapids CDP, New York",1584,36,60609
"Ravena village, New York",3271,36,60675
"Red Creek village, New York",495,36,60829
"Redford CDP, New York",387,36,60884
"Red Hook village, New York",1975,36,60895
"Red Oaks Mill CDP, New York",3810,36,60983
"Redwood CDP, New York",493,36,61016
"Remsen village, New York",431,36,61115
"Remsenburg-Speonk CDP, New York",3110,36,61142
"Rensselaer city, New York",9210,36,61148
"Rensselaer Falls village, New York",361,36,61159
"Retsof CDP, New York",326,36,61236
"Rhinebeck village, New York",2697,36,61346
"Rhinecliff CDP, New York",380,36,61368
"Richburg village, New York",401,36,61434
"Richfield Springs village, New York",1050,36,61489
"Richmondville village, New York",858,36,61588
"Richville village, New York",234,36,61621
"Ridge CDP, New York",13271,36,61665
"Rifton CDP, New York",481,36,61797
"Ripley CDP, New York",852,36,61874
"Riverhead CDP, New York",14993,36,61973
"Riverside village, New York",423,36,62061
"Riverside CDP, New York",2882,36,62066
"Rochester city, New York",211328,36,63000
"Rochester Institute of Technology CDP, New York",7322,36,63014
"Rock Hill CDP, New York",2369,36,63132
"Rockville Centre village, New York",26016,36,63264
"Rocky Point CDP, New York",13633,36,63319
"Rodman CDP, New York",152,36,63330
"Roessleville CDP, New York",11518,36,63363
"Rome city, New York",32127,36,63418
"Romulus CDP, New York",356,36,63429
"Ronkonkoma CDP, New York",18955,36,63473
"Roosevelt CDP, New York",18066,36,63506
"Roscoe CDP, New York",497,36,63583
"Rosendale CDP, New York",1285,36,63725
"Roslyn village, New York",2988,36,63770
"Roslyn Estates village, New York",1318,36,63792
"Roslyn Harbor village, New York",1067,36,63803
"Roslyn Heights CDP, New York",6747,36,63814
"Rotterdam CDP, New York",22968,36,63924
"Round Lake village, New York",828,36,63957
"Round Top CDP, New York",920,36,63968
"Rouses Point village, New York",2195,36,63979
"Ruby CDP, New York",918,36,64056
"Rushford CDP, New York",351,36,64155
"Rushville village, New York",651,36,64199
"Russell Gardens village, New York",978,36,64232
"Rye city, New York",16592,36,64309
"Rye Brook village, New York",10047,36,64325
"Sackets Harbor village, New York",1351,36,64408
"Saddle Rock village, New York",989,36,64430
"Saddle Rock Estates CDP, New York",428,36,64441
"Sagaponack village, New York",770,36,64452
"Sag Harbor village, New York",2772,36,64485
"St. Bonaventure CDP, New York",1963,36,64551
"St. James CDP, New York",13487,36,64584
"St. John Fisher College CDP, New York",1307,36,64606
"St. Johnsville village, New York",1643,36,64639
"St. Regis Falls CDP, New York",432,36,64716
"Salamanca city, New York",5929,36,64749
"Salem CDP, New York",811,36,64771
"Skaneateles village, New York",2533,36,67510
"Slaterville Springs CDP, New York",208,36,67631
"Sleepy Hollow village, New York",9986,36,67638
"Sleepy Hollow Lake CDP, New York",1153,36,67640
"Sloan village, New York",3775,36,67686
"Sloatsburg village, New York",3036,36,67708
"Smallwood CDP, New York",839,36,67730
"Smithtown CDP, New York",25629,36,67851
"Smithville Flats CDP, New York",303,36,68088
"Smyrna village, New York",197,36,68099
"Sodus village, New York",1667,36,68209
"Sodus Point village, New York",822,36,68242
"Solvay village, New York",6645,36,68286
"Sound Beach CDP, New York",7416,36,68374
"Southampton village, New York",4550,36,68462
"South Blooming Grove village, New York",3973,36,68610
"South Cairo CDP, New York",590,36,68737
"South Corning village, New York",1108,36,68847
"South Dayton village, New York",541,36,68891
"South Edmeston CDP, New York",137,36,68946
"South Fallsburg CDP, New York",2347,36,68968
"South Farmingdale CDP, New York",14345,36,69001
"South Floral Park village, New York",1741,36,69023
"South Glens Falls village, New York",3744,36,69078
"South Hempstead CDP, New York",3406,36,69188
"South Hill CDP, New York",7245,36,69199
"South Huntington CDP, New York",9561,36,69254
"South Ilion CDP, New York",119,36,69265
"South Lansing CDP, New York",1078,36,69342
"South Lima CDP, New York",269,36,69364
"South Lockport CDP, New York",9355,36,69386
"South Nyack village, New York",2699,36,69441
"Southold CDP, New York",6040,36,69452
"Southport CDP, New York",6782,36,69606
"South Valley Stream CDP, New York",6386,36,69892
"Spackenkill CDP, New York",4223,36,70035
"Sparkill CDP, New York",1581,36,70068
"Sparrow Bush CDP, New York",981,36,70090
"Speculator village, New York",406,36,70123
"Spencer village, New York",719,36,70167
"Spencerport village, New York",3685,36,70189
"Springfield Center CDP, New York",336,36,70321
"Springs CDP, New York",8086,36,70387
"Spring Valley village, New York",33066,36,70420
"Springville village, New York",4225,36,70442
"Springwater CDP, New York",518,36,70464
"Staatsburg CDP, New York",703,36,70552
"Stamford village, New York",1040,36,70618
"Stannards CDP, New York",585,36,70717
"Star Lake CDP, New York",631,36,70849
"Stewart Manor village, New York",1992,36,71267
"Stillwater village, New York",1754,36,71322
"Stittville CDP, New York",294,36,71377
"Stone Ridge CDP, New York",1234,36,71597
"Stony Brook CDP, New York",13467,36,71608
"Stony Brook University CDP, New York",10409,36,71620
"Valley Stream village, New York",40634,36,76705
"Van Etten CDP, New York",601,36,76881
"Varna CDP, New York",767,36,76969
"Vassar College CDP, New York",2472,36,76985
"Vernon village, New York",1177,36,77112
"Verona CDP, New York",828,36,77167
"Verplanck CDP, New York",1535,36,77211
"Victor village, New York",2744,36,77376
"Victory village, New York",666,36,77431
"Village Green CDP, New York",3834,36,77513
"Village of the Branch village, New York",1735,36,77519
"Viola CDP, New York",8208,36,77574
"Virgil CDP, New York",298,36,77585
"Voorheesville village, New York",2841,36,77684
"Waddington village, New York",937,36,77728
"Wading River CDP, New York",7731,36,77772
"Wadsworth CDP, New York",173,36,77783
"Wainscott CDP, New York",904,36,77805
"Walden village, New York",6818,36,77849
"Walker Valley CDP, New York",1269,36,77948
"Wallkill CDP, New York",2166,36,78003
"Walton village, New York",2885,36,78036
"Walton Park CDP, New York",3907,36,78063
"Walworth CDP, New York",917,36,78091
"Wampsville village, New York",573,36,78113
"Wanakah CDP, New York",3137,36,78124
"Wantagh CDP, New York",18613,36,78146
"Wappingers Falls village, New York",6103,36,78168
"Warrensburg CDP, New York",3045,36,78289
"Warsaw village, New York",3646,36,78333
"Warwick village, New York",6652,36,78355
"Washington Heights CDP, New York",2205,36,78421
"Washington Mills CDP, New York",1219,36,78454
"Washingtonville village, New York",5657,36,78465
"Wassaic CDP, New York",210,36,78476
"Watchtower CDP, New York",1709,36,78487
"Waterford village, New York",2038,36,78520
"Waterloo village, New York",4810,36,78553
"Water Mill CDP, New York",2506,36,78575
"Watertown city, New York",24685,36,78608
"Waterville village, New York",1473,36,78663
"Watervliet city, New York",10375,36,78674
"Watkins Glen village, New York",1863,36,78696
"Waverly village, New York",4373,36,78806
"Wayland village, New York",1680,36,78850
"Webster village, New York",5651,36,78960
"Websters Crossing CDP, New York",52,36,78982
"Weedsport village, New York",1788,36,79015
"Wells CDP, New York",531,36,79048
"Wells Bridge CDP, New York",279,36,79070
"Wellsburg village, New York",490,36,79081
"Wellsville village, New York",4587,36,79092
"Wesley Hills village, New York",6116,36,79174
"West Babylon CDP, New York",43213,36,79246
"West Bay Shore CDP, New York",4625,36,79301
"Westbury village, New York",15864,36,79444
"Bolivar village, New York",1010,36,07190
"Bolton Landing CDP, New York",518,36,07245
"Boonville village, New York",2020,36,07355
"Brasher Falls CDP, New York",674,36,07960
"Breesport CDP, New York",629,36,08004
"Brentwood CDP, New York",62387,36,08026
"Brewerton CDP, New York",3907,36,08059
"Brewster village, New York",2508,36,08070
"Brewster Heights CDP, New York",1076,36,08081
"Brewster Hill CDP, New York",1924,36,08092
"Briarcliff Manor village, New York",7569,36,08103
"Bridgehampton CDP, New York",2953,36,08136
"Bridgeport CDP, New York",1389,36,08147
"Bridgeville CDP, New York",149,36,08158
"Bridgewater CDP, New York",516,36,08169
"Brighton CDP, New York",37137,36,08257
"Brightwaters village, New York",3181,36,08323
"Brinckerhoff CDP, New York",3377,36,08334
"Broadalbin village, New York",1384,36,08422
"Brockport village, New York",7104,36,08466
"Brocton village, New York",1286,36,08488
"Bronxville village, New York",6656,36,08532
"Brookhaven CDP, New York",3330,36,09000
"Brooktondale CDP, New York",261,36,10077
"Brookville village, New York",2939,36,10132
"Brownville village, New York",930,36,10231
"Brushton village, New York",443,36,10286
"Buchanan village, New York",2302,36,10341
"Buffalo city, New York",278349,36,11000
"Burdett village, New York",331,36,11132
"Burke village, New York",160,36,11154
"Burlington Flats CDP, New York",143,36,11220
"Busti CDP, New York",349,36,11440
"Byersville CDP, New York",44,36,11550
"Cadyville CDP, New York",479,36,11616
"Cairo CDP, New York",1368,36,11638
"Calcium CDP, New York",3573,36,11671
"Caledonia village, New York",2080,36,11704
"Callicoon CDP, New York",206,36,11748
"Bohemia CDP, New York",9852,36,07157
"Calverton CDP, New York",5934,36,11781
"Cambridge village, New York",1788,36,11825
"Camden village, New York",2196,36,11847
"Camillus village, New York",1222,36,11902
"Campbell CDP, New York",659,36,11935
"Canajoharie village, New York",2037,36,12111
"Canandaigua city, New York",10576,36,12144
"Canaseraga village, New York",460,36,12177
"Canastota village, New York",4556,36,12188
"Candor village, New York",786,36,12210
"Canisteo village, New York",2176,36,12254
"Canton village, New York",7155,36,12331
"Cape Vincent village, New York",699,36,12353
"Captree CDP, New York",48,36,12402
"Carle Place CDP, New York",5005,36,12419
"Carmel CDP, New York",7538,36,12518
"Caroga Lake CDP, New York",548,36,12584
"Salisbury Center CDP, New York",323,36,64848
"Salisbury Mills CDP, New York",580,36,64859
"Saltaire village, New York",113,36,64881
"Salt Point CDP, New York",202,36,64892
"Sanborn CDP, New York",1553,36,64958
"Sand Ridge CDP, New York",992,36,65024
"Sands Point village, New York",2712,36,65035
"Sandy Creek village, New York",646,36,65068
"Saranac Lake village, New York",4887,36,65233
"Saratoga Springs city, New York",28491,36,65255
"Saugerties village, New York",3899,36,65288
"Saugerties South CDP, New York",2442,36,65310
"Savannah CDP, New York",487,36,65332
"Savona village, New York",672,36,65354
"Sayville CDP, New York",16569,36,65409
"Scarsdale village, New York",18253,36,65431
"Schaghticoke village, New York",527,36,65475
"Schenectady city, New York",67047,36,65508
"Schenevus CDP, New York",494,36,65519
"Schoharie village, New York",916,36,65585
"Schroon Lake CDP, New York",921,36,65640
"Schuyler Lake CDP, New York",189,36,65739
"Schuylerville village, New York",1370,36,65750
"Scio CDP, New York",525,36,65761
"Scotchtown CDP, New York",10578,36,65882
"Scotia village, New York",7272,36,65893
"Scottsburg CDP, New York",137,36,65926
"Scotts Corners CDP, New York",665,36,65948
"Scottsville village, New York",2009,36,65959
"Sea Cliff village, New York",5062,36,66047
"Seaford CDP, New York",15251,36,66058
"Searingtown CDP, New York",5044,36,66102
"Selden CDP, New York",21262,36,66212
"Seneca Falls CDP, New York",6809,36,66322
"Seneca Knolls CDP, New York",1992,36,66366
"Setauket CDP, New York",3986,36,66465
"Sharon Springs village, New York",483,36,66663
"Shelter Island CDP, New York",1602,36,66828
"Shelter Island Heights CDP, New York",1601,36,66850
"Shenorock CDP, New York",1903,36,66872
"Salisbury CDP, New York",12618,36,64842
"Sherburne village, New York",1360,36,66883
"Sherman village, New York",649,36,66949
"Sherrill city, New York",3077,36,66993
"Shinnecock Hills CDP, New York",2282,36,67048
"Shirley CDP, New York",26360,36,67070
"Shokan CDP, New York",1075,36,67081
"Shoreham village, New York",561,36,67191
"Shorehaven CDP, New York",686,36,67207
"Shortsville village, New York",1400,36,67257
"Shrub Oak CDP, New York",2143,36,67279
"Sidney village, New York",3697,36,67334
"Siena College CDP, New York",2281,36,67367
"Silver Creek village, New York",2617,36,67411
"Silver Springs village, New York",689,36,67466
"Sinclairville village, New York",579,36,67488
"Stony Point CDP, New York",12126,36,71663
"Stottville CDP, New York",1665,36,71718
"Strykersville CDP, New York",682,36,71817
"Suffern village, New York",11441,36,71894
"Sunset Bay CDP, New York",470,36,72246
"SUNY Oswego CDP, New York",3451,36,72327
"Swan Lake CDP, New York",372,36,72400
"Sylvan Beach village, New York",890,36,72521
"Syosset CDP, New York",19259,36,72554
"Syracuse city, New York",148620,36,73000
"Taconic Shores CDP, New York",547,36,73057
"Tannersville village, New York",568,36,73143
"Tappan CDP, New York",6673,36,73154
"Tarrytown village, New York",11860,36,73176
"Terryville CDP, New York",11472,36,73352
"Thendara CDP, New York",195,36,73495
"Theresa village, New York",752,36,73517
"Thiells CDP, New York",5240,36,73583
"Thomaston village, New York",2759,36,73605
"Thornwood CDP, New York",3960,36,73715
"Thousand Island Park CDP, New York",96,36,73726
"Three Mile Bay CDP, New York",187,36,73737
"Ticonderoga CDP, New York",3250,36,73880
"Tillson CDP, New York",1516,36,73902
"Tioga Terrace CDP, New York",2082,36,73990
"Titusville CDP, New York",729,36,74017
"Tivoli village, New York",1012,36,74023
"Tonawanda city, New York",15129,36,74166
"Tonawanda Town CDP, New York",57431,36,75021
"Town Line CDP, New York",2334,36,75121
"Tribes Hill CDP, New York",937,36,75341
"Troy city, New York",51401,36,75484
"Trumansburg village, New York",1714,36,75506
"Tuckahoe CDP, New York",1505,36,75572
"Tuckahoe village, New York",7084,36,75583
"Tully village, New York",904,36,75627
"Tupper Lake village, New York",3282,36,75671
"Turin village, New York",197,36,75682
"Tuscarora CDP, New York",71,36,75726
"Tuxedo Park village, New York",645,36,75803
"Unadilla village, New York",1065,36,76001
"Unadilla Forks CDP, New York",257,36,76023
"Uniondale CDP, New York",32473,36,76089
"Union Springs village, New York",1075,36,76155
"Unionville village, New York",592,36,76210
"University at Buffalo CDP, New York",6798,36,76280
"University Gardens CDP, New York",4358,36,76287
"Upper Brookville village, New York",1786,36,76331
"Upper Nyack village, New York",2015,36,76386
"Upper Red Hook CDP, New York",180,36,76397
"Utica city, New York",65283,36,76540
"Vails Gate CDP, New York",3368,36,76584
"Valatie village, New York",1785,36,76617
"Valhalla CDP, New York",3213,36,76639
"Valley Cottage CDP, New York",9038,36,76661
"Valley Falls village, New York",510,36,76672
"West Chazy CDP, New York",558,36,79543
"West Danby CDP, New York",211,36,79697
"West Elmira CDP, New York",4850,36,79785
"West End CDP, New York",1864,36,79796
"Westernville CDP, New York",144,36,79895
"Westfield village, New York",2910,36,79939
"Westford CDP, New York",145,36,79961
"West Glens Falls CDP, New York",9473,36,80082
"Westhampton CDP, New York",3621,36,80170
"Westhampton Beach village, New York",2150,36,80181
"West Hampton Dunes village, New York",126,36,80186
"West Haverstraw village, New York",10678,36,80203
"West Hempstead CDP, New York",19835,36,80225
"West Hills CDP, New York",5385,36,80258
"West Hurley CDP, New York",1917,36,80291
"West Islip CDP, New York",27048,36,80302
"West Kill CDP, New York",121,36,80324
"Westmere CDP, New York",7560,36,80423
"Westmoreland CDP, New York",390,36,80522
"West Nyack CDP, New York",3649,36,80599
"Weston Mills CDP, New York",1525,36,80632
"West Point CDP, New York",7341,36,80747
"Westport CDP, New York",496,36,80764
"West Sand Lake CDP, New York",2616,36,80863
"West Sayville CDP, New York",4872,36,80885
"West Seneca CDP, New York",45500,36,80907
"Westvale CDP, New York",5090,36,81127
"West Valley CDP, New York",452,36,81138
"West Winfield village, New York",733,36,81292
"Wheatley Heights CDP, New York",5140,36,81419
"Whitehall village, New York",2465,36,81622
"White Lake CDP (Oneida County), New York",121,36,81644
"White Lake CDP (Sullivan County), New York",207,36,81655
"White Plains city, New York",59559,36,81677
"Whitesboro village, New York",3612,36,81710
"Whitney Point village, New York",960,36,81831
"Williamson CDP, New York",2418,36,82029
"Williamsville village, New York",5423,36,82084
"Williston Park village, New York",7591,36,82117
"Willsboro CDP, New York",689,36,82260
"Willsboro Point CDP, New York",382,36,82282
"West Carthage village, New York",1780,36,79499
"Wilmington CDP, New York",843,36,82304
"Wilson village, New York",1247,36,82359
"Windham CDP, New York",371,36,82469
"Windsor village, New York",907,36,82524
"Wingdale CDP, New York",1051,36,82579
"Winthrop CDP, New York",489,36,82612
"Witherbee CDP, New York",385,36,82656
"Wolcott village, New York",1556,36,82678
"Woodbourne CDP, New York",411,36,82733
"Woodbury CDP, New York",9335,36,82744
"Woodbury village, New York",11526,36,82750
"Woodmere CDP, New York",18669,36,82942
"Woodridge village, New York",747,36,82953
"Woodsburgh village, New York",897,36,82986
"Woodstock CDP, New York",2521,36,83041
"Woodsville CDP, New York",70,36,83063
"Worcester CDP, New York",986,36,83118
"Wurtsboro village, New York",1124,36,83272
"Wurtsboro Hills CDP, New York",867,36,83283
"Wyandanch CDP, New York",12990,36,83294
"Wynantskill CDP, New York",4050,36,83349
"Wyoming village, New York",377,36,83371
"Yaphank CDP, New York",5974,36,83426
"Yonkers city, New York",211569,36,84000
"York CDP, New York",488,36,84011
"Yorkshire CDP, New York",1176,36,84044
"Yorktown Heights CDP, New York",1884,36,84088
"Yorkville village, New York",2657,36,84099
"Youngstown village, New York",1859,36,84143
"Zena CDP, New York",1038,36,84187
