level,geo,NAME,workers
place,20687,"Dix Hills CDP, New York",6781
place,20698,"Dobbs Ferry village, New York",6247
place,20731,"Dolgeville village, New York",648
place,20841,"Dover Plains CDP, New York",301
place,20852,"Downsville CDP, New York",237
place,20896,"Dresden village, New York",107
place,20951,"Dryden village, New York",924
place,20989,"Duane Lake CDP, New York",3
place,20995,"Duanesburg CDP, New York",183
place,21050,"Dundee village, New York",927
place,21105,"Dunkirk city, New York",6466
place,21226,"Durhamville CDP, New York",91
place,21380,"Eagle Bay CDP, New York",88
place,21523,"Earlville village, New York",152
place,21578,"East Atlantic Beach CDP, New York",319
place,21589,"East Aurora village, New York",5037
place,21600,"East Avon CDP, New York",867
place,21809,"Eastchester CDP, New York",8597
place,21919,"East Durham CDP, New York",143
place,21985,"East Farmingdale CDP, New York",24379
place,22029,"East Frankfort CDP, New York",35
place,22084,"East Glenville CDP, New York",4384
place,22106,"East Greenbush CDP, New York",2852
place,22183,"East Hampton village, New York",6076
place,22200,"East Hampton North CDP, New York",2060
place,22238,"East Herkimer CDP, New York",402
place,22260,"East Hills village, New York",3144
place,22315,"East Islip CDP, New York",3945
place,22326,"East Ithaca CDP, New York",851
place,22370,"East Kingston CDP, New York",177
place,22447,"East Marion CDP, New York",424
place,22480,"East Massapequa CDP, New York",4954
place,22502,"East Meadow CDP, New York",11278
place,22546,"East Moriches CDP, New York",1977
place,22557,"East Nassau village, New York",65
place,22612,"East Northport CDP, New York",5581
place,22623,"East Norwich CDP, New York",1016
place,22733,"East Patchogue CDP, New York",5910
place,22810,"Eastport CDP, New York",709
place,22832,"East Quogue CDP, New York",1429
place,22843,"East Randolph CDP, New York",207
place,22865,"East Rochester village, New York",4108
place,22876,"East Rockaway village, New York",2003
place,22964,"East Setauket CDP, New York",7514
place,22980,"East Shoreham CDP, New York",1491
place,23052,"East Syracuse village, New York",3717
place,23217,"East Williston village, New York",454
place,23283,"East Worcester CDP, New York",20
place,23316,"Eatons Neck CDP, New York",112
place,23404,"Eden CDP, New York",1240
place,23602,"Edmeston CDP, New York",752
place,23635,"Edwards CDP, New York",63
place,23701,"Eggertsville CDP, New York",4251
place,23745,"Elba village, New York",146
place,23789,"Elbridge village, New York",609
place,23811,"Eldred CDP, New York",159
place,23822,"Elizabethtown CDP, New York",1097
place,23965,"Ellenville village, New York",930
place,24020,"Ellicottville village, New York",1065
place,24075,"Ellisburg village, New York",63
place,24141,"Elma Center CDP, New York",2014
place,24229,"Elmira city, New York",15215
place,24251,"Elmira Heights village, New York",1473
place,24273,"Elmont CDP, New York",5811
place,24295,"Elmsford village, New York",3618
place,24405,"Elwood CDP, New York",4694
place,24515,"Endicott village, New York",7872
place,24526,"Endwell CDP, New York",4064
place,24625,"Erin CDP, New York",42
place,24713,"Esperance village, New York",43
place,24823,"Evans Mills village, New York",434
place,24867,"Fabius village, New York",216
place,24988,"Fair Haven village, New York",81
place,25043,"Fairmount CDP, New York",3454
place,25076,"Fairport village, New York",2953
place,25109,"Fairview CDP (Dutchess County), New York",2564
place,25120,"Fairview CDP (Westchester County), New York",1052
place,25164,"Falconer village, New York",1683
place,25230,"Fallsburg CDP, New York",889
place,25384,"Farmingdale village, New York",4438
place,25417,"Farmingville CDP, New York",3955
place,25428,"Farnham village, New York",13
place,25527,"Fayetteville village, New York",1597
place,25571,"Felts Mills CDP, New York",47
place,25747,"Fillmore CDP, New York",332
place,25839,"Fire Island CDP, New York",344
place,25857,"Firthcliffe CDP, New York",1243
place,25923,"Fishers Island CDP, New York",342
place,25934,"Fishers Landing CDP, New York",21
place,25967,"Fishkill village, New York",3135
place,26121,"Flanders CDP, New York",455
place,26209,"Fleischmanns village, New York",94
place,26264,"Floral Park village, New York",5659
place,26319,"Florida village, New York",1117
place,26352,"Flower Hill village, New York",3464
place,26418,"Fly Creek CDP, New York",92
place,26462,"Fonda village, New York",1117
