text,url
November 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-11-1866.xlsx
October 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-10-1865.xlsx
October 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-10-1864.xlsx
September 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-09-1863.xlsx
September 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-09-1862.xlsx
August 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-08-1861.xlsx
August 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-08-1860.xlsx
July 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-07-1859.xlsx
July 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-07-1858.xlsx
June 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-06-1857.xlsx
June 2023: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-06-1856.xlsx
June 2023: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-06-1855.xlsx
May 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-05-1854.xlsx
May 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-05-1853.xlsx
April 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-04-1852.xlsx
April 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-04-1851.xlsx
March 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-03-1850.xlsx
March 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-03-1849.xlsx
February 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-02-1848.xlsx
February 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-02-1847.xlsx
January 2023: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-01-1846.xlsx
January 2023: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2023-01-1845.xlsx
December 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-12-1844.xlsx
December 2022: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-12-1843.xlsx
December 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-12-1842.xlsx
November 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-11-1841.xlsx
November 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-11-1840.xlsx
October 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-10-1839.xlsx
October 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-10-1838.xlsx
September 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-09-1837.xlsx
September 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-09-1836.xlsx
August 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-08-1835.xlsx
August 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-08-1834.xlsx
July 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-07-1833.xlsx
July 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-07-1832.xlsx
June 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-06-1831.xlsx
June 2022: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-06-1830.xlsx
June 2022: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-06-1829.xlsx
May 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-05-1828.xlsx
May 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-05-1827.xlsx
April 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-04-1826.xlsx
April 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-03-1825.xlsx
March 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-03-1824.xlsx
March 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-03-1823.xlsx
February 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-02-1822.xlsx
February 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-01-1821.xlsx
January 2022: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-01-1820.xlsx
January 2022: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2022-01-1819.xlsx
December 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-12-1818.xlsx
December 2021: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-12-1817.xlsx
December 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-12-1816.xlsx
November 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-11-1815.xlsx
November 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-11-1814.xlsx
October 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-10-1813.xlsx
October 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-10-1812.xlsx
September 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-09-1811.xlsx
September 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-09-1810.xlsx
August 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-08-1809.xlsx
August 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-08-1808.xlsx
July 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-07-1807.xlsx
July 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-07-1806.xlsx
June 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-06-1805.xlsx
June 2021: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-06-1804.xlsx
June 2021: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-06-1803.xlsx
May 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-05-1802.xlsx
May 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-05-1801.xlsx
April 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-04-1800.xlsx
April 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-04-1799.xlsx
March 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-03-1798.xlsx
March 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-03-1797.xlsx
February 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-02-1796.xlsx
February 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-02-1795.xlsx
January 2021: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-01-1794.xlsx
January 2021: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2021-01-1793.xlsx
December 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-12-1792.xlsx
December 2020: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-12-1791.xlsx
December 2020: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-12-1790.xlsx
November 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-11-1789.xlsx
November 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-11-1788.xlsx
October 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-10-1787.xlsx
October 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-10-1786.xlsx
September 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-09-1785.xlsx
September 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-09-1784.xlsx
August 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-08-1783.xlsx
August 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-08-1782.xlsx
July 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-07-1781.xlsx
July 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-07-1780.xlsx
June 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-06-1779.xlsx
June 2020: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-06-1778.xlsx
June 2020: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-06-1777.xlsx
May 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-05-1776.xlsx
May 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-05-1775.xlsx
April 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-04-1774.xlsx
April 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-04-1773.xlsx
March 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-03-1772.xlsx
March 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-03-1771.xlsx
February 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-02-1770.xlsx
February 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-02-1769.xlsx
January 2020: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-01-1768.xlsx
January 2020: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2020-01-1767.xlsx
December 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-12-1766.xlsx
December 2019: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-12-1765.xlsx
December 2019: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-12-1764.xls
November 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-11-1763.xlsx
November 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-11-1762.xlsx
October 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-10-1761.xlsx
October 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-10-1760.xlsx
September 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-09-1759.xlsx
September 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-09-1758.xlsx
August 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-08-1757.xlsx
August 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-08-1756.xlsx
July 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-07-1755.xlsx
July 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-07-1754.xls
June 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-06-1753.xls
June 2019: second early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-06-1752.xlsx
June 2019: first early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-06-1751.xlsx
May 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-05-1750.xlsx
May 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-05-1749.xlsx
April 2019: final,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-04-1748.xlsx
April 2019: early,https://www.tax.ny.gov/research/stats/statistics/sales_tax/reports/AS001/as001-2019-04-1747.xlsx
