cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36019,3657364,777,0,0,0,0,0,0,37,83,0,22,5,11,0,3,459,17,0,83,18,39,19
36019,3658574,11804,0,0,17,156,1002,34,1129,37,118,164,118,328,46,719,1199,4058,6,1080,354,1239,121
36019,3658601,1558,0,0,0,57,526,131,221,197,0,0,6,44,2,1,86,118,23,118,28,0,12
36019,3660884,18,0,0,0,3,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,2
36019,3663979,409,0,0,1,6,142,5,48,8,0,7,5,4,0,4,0,44,0,81,19,35,17
36019,3679543,47,1,0,0,23,0,5,11,0,0,0,0,0,0,0,0,1,0,0,6,0,6
36019,9999999,11987,622,25,138,725,1052,495,2273,922,48,149,255,147,15,401,2121,852,50,1063,268,366,320
36021,3614003,966,0,0,10,15,123,1,120,0,15,35,16,96,0,25,295,73,7,106,29,0,30
36021,3616050,594,0,0,0,4,29,0,26,0,4,0,0,10,0,3,494,7,15,0,2,0,10
36021,3618091,104,8,0,0,0,29,0,6,0,0,3,1,0,0,2,0,5,0,21,0,29,6
36021,3618113,16,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,2,6,0,3
36021,3618124,131,1,0,0,14,0,0,0,64,2,0,1,0,0,0,0,2,21,16,10,0,9
36021,3628761,549,228,0,0,16,14,0,29,13,20,13,6,12,0,27,115,6,2,29,18,1,10
36021,3628860,159,0,0,0,15,0,0,71,0,0,7,0,6,0,0,0,0,0,60,0,0,6
36021,3635969,4881,1,0,0,86,226,37,216,112,45,37,56,170,44,24,19,1825,70,679,83,1151,78
36021,3639562,177,0,0,0,17,5,5,11,10,6,0,0,26,0,2,7,0,13,41,9,25,14
36021,3643511,1274,4,0,0,16,44,8,257,1,21,39,13,9,2,1,243,127,9,188,31,261,18
36021,3651297,19,0,0,0,13,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7
36021,3657639,497,0,0,0,6,0,13,56,89,2,0,1,14,0,0,0,277,0,37,2,0,14
36021,3671718,776,0,0,0,48,78,13,426,23,0,6,7,1,0,2,0,64,0,55,20,33,14
36021,3673057,58,0,0,0,2,0,0,0,0,0,0,0,2,0,12,0,18,0,20,4,0,7
36021,3676617,461,0,0,0,4,0,0,63,0,6,24,3,0,0,5,0,224,0,105,16,11,14
36021,9999999,9553,566,31,13,1026,1061,597,1044,470,72,125,164,222,114,458,780,1192,148,538,467,465,555
36023,3606937,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
36023,3618388,7515,0,0,7,106,221,39,286,147,51,308,59,192,26,151,1597,1581,59,1353,475,857,111
36023,3618443,1091,10,0,0,30,85,66,332,0,1,35,14,6,3,9,91,196,13,113,43,44,19
36023,3635276,1130,0,0,0,19,80,19,50,2,16,72,11,14,44,30,440,90,5,113,38,87,33
36023,3644193,275,0,0,0,7,72,9,0,12,5,0,0,0,0,41,81,0,0,30,0,18,9
36023,3645392,429,0,0,0,7,140,0,43,29,0,10,0,1,0,0,107,34,0,16,42,0,14
36023,3649242,2012,0,0,0,26,570,19,714,0,8,14,27,55,0,9,8,221,16,210,51,64,16
36023,3677585,31,0,0,0,8,5,0,9,0,0,0,0,3,0,0,0,4,0,0,2,0,5
36023,9999999,4516,292,13,13,210,988,130,343,80,23,24,25,387,11,117,369,472,338,424,171,86,177
36025,3602121,139,0,0,0,0,13,0,3,0,4,0,0,0,0,8,45,9,1,26,0,30,7
36025,3607025,23,0,0,0,2,0,0,1,0,0,0,0,0,0,18,0,0,0,0,2,0,3
36025,3619774,42,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,3,0,0,3
36025,3620126,2656,0,0,30,34,2,9,125,5,606,47,2,52,0,1,668,193,0,150,102,630,22
36025,3620346,354,0,0,4,0,43,71,11,0,0,0,0,0,0,7,187,0,0,14,17,0,9
36025,3620852,232,2,0,0,0,0,0,22,2,0,3,0,0,0,0,127,1,0,17,0,58,7
36025,3626209,81,0,0,0,8,0,0,25,0,2,0,3,7,0,0,0,0,0,18,5,13,10
36025,3627221,199,0,0,0,21,2,0,29,0,2,10,0,1,0,0,80,5,1,17,4,27,6
36025,3631940,563,0,0,0,0,24,0,87,0,13,19,0,5,0,0,128,30,5,80,83,89,18
