fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2022,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",115,8299626
2023,New York State Sales and Use Tax,1,17819001244
2023,New York City Sales and Use Tax,2,9708782121
2023,Metropolitan Commuter Transportation District Sales and Use Tax,3,1259790757
2023,Albany County Sales and Use Tax,4,368165973
2023,Allegany County Sales and Use Tax,5,29738427
2023,Broome County Sales and Use Tax,6,179622156
2023,Cattaraugus County Sales and Use Tax,7,50885910
2023,Cayuga County Sales and Use Tax,8,49950464
2023,Chautauqua County Sales and Use Tax,9,88966278
2023,Chemung County Sales and Use Tax,10,74391172
2023,Chenango County Sales and Use Tax,11,30842730
2023,Clinton County Sales and Use Tax,12,73007378
2023,Columbia County Sales and Use Tax,13,63730773
2023,Cortland County Sales and Use Tax,14,39894055
2023,Delaware County Sales and Use Tax,15,32215932
2023,Dutchess County Sales and Use Tax,16,259183321
2023,Erie County Sales and Use Tax,17,1033059508
2023,Essex County Sales and Use Tax,18,41698805
2023,Franklin County Sales and Use Tax,19,33455894
2023,Fulton County Sales and Use Tax,20,29403035
2023,Genesee County Sales and Use Tax,21,55525765
2023,Greene County Sales and Use Tax,22,46903041
2023,Hamilton County Sales and Use Tax,23,5356304
2023,Herkimer County Sales and Use Tax,24,43797192
2023,Jefferson County Sales and Use Tax,25,102564520
2023,Lewis County Sales and Use Tax,26,18751479
2023,Livingston County Sales and Use Tax,27,45570942
2023,Madison County Sales and Use Tax,28,40105922
2023,Monroe County Sales and Use Tax,29,640745054
2023,Montgomery County Sales and Use Tax,30,47182233
2023,Nassau County Sales and Use Tax,31,1560671466
2023,Niagara County Sales and Use Tax,32,162313149
2023,Oneida County Sales and Use Tax,33,190056963
2023,Onondaga County Sales and Use Tax,34,459579421
2023,Ontario County Sales and Use Tax,35,114657339
2023,Orange County Sales and Use Tax,36,386674563
2023,Orleans County Sales and Use Tax,37,22790891
2023,Oswego County Sales and Use Tax,38,62626834
2023,Otsego County Sales and Use Tax,39,49033280
2023,Putnam County Sales and Use Tax,40,83528589
2023,Rensselaer County Sales and Use Tax,41,123560908
2023,Rockland County Sales and Use Tax,42,293103033
2023,St. Lawrence County Sales and Use Tax,43,81915693
2023,Saratoga County Sales and Use Tax,44,162922666
2023,Schenectady County Sales and Use Tax,45,129774131
2023,Schoharie County Sales and Use Tax,46,22538231
2023,Schuyler County Sales and Use Tax,47,15244301
2023,Seneca County Sales and Use Tax,48,32517466
2023,Steuben County Sales and Use Tax,49,77770512
2023,Suffolk County Sales and Use Tax,50,1943336117
2023,Sullivan County Sales and Use Tax,51,71666896
2023,Tioga County Sales and Use Tax,52,32239625
2023,Tompkins County Sales and Use Tax,53,66554192
2023,Ulster County Sales and Use Tax,54,168150253
2023,Warren County Sales and Use Tax,55,71773364
2023,Washington County Sales and Use Tax,56,28170035
2023,Wayne County Sales and Use Tax,57,61644598
2023,Westchester County Sales and Use Tax,58,906415889
2023,Wyoming County Sales and Use Tax,59,25000367
2023,Yates County Sales and Use Tax,60,22229858
2023,City of Auburn Sales and Use Tax,61,11019275
2023,City of Corning Sales and Use Tax,62,1148
2023,City of Fulton Sales and Use Tax,63,998
2023,City of Geneva Sales and Use Tax,64,820
2023,City of Glens Falls Sales and Use Tax,65,4569398
2023,City of Gloversville Sales and Use Tax,66,4524052
2023,City of Hornell Sales and Use Tax,67,2585
2023,City of Ithaca Sales and Use Tax,68,14647153
2023,City of Johnstown Sales and Use Tax,69,5403838
2023,City of Mount Vernon Sales and Use Tax,70,28839177
2023,City of New Rochelle Sales and Use Tax,71,41211742
2023,City of Norwich Sales and Use Tax,72,2447433
2023,City of Ogdensburg Sales and Use Tax,73,1894594
2023,City of Olean Sales and Use Tax,74,5282425
2023,City of Oneida Sales and Use Tax,75,6621968
2023,City of Oswego Sales and Use Tax,76,18959548
2023,City of Rome Sales and Use Tax,77,9702058
2023,City of Salamanca Sales and Use Tax,78,852070
2023,City of Saratoga Springs Sales and Use Tax,79,17069932
2023,City of Sherrill Sales and Use Tax,80,91
2023,City of Utica Sales and Use Tax,81,14051709
2023,City of White Plains Sales and Use Tax,82,56316892
2023,City of Yonkers Sales and Use Tax,83,81601300
2023,City of Yonkers Special Sales and Use Tax,84,40816953
2023,City of Newburgh Consumer Utilities,85,1567426
2023,City of Port Jervis Consumer Utilities,86,480723
2023,Albany City School District Consumer Utilities,87,5072001
2023,Batavia City School District Consumer Utilities,88,885689
2023,Cohoes City School District Consumer Utilities,89,750841
2023,Glen Cove City School District Consumer Utilities,90,1690518
2023,Gloversville City School District Consumer Utilities,91,846136
2023,Hornell City School District Consumer Utilities,92,403273
2023,Hudson City School District Consumer Utilities,93,860218
2023,Johnstown City School District Consumer Utilities,94,679940
2023,Lackawanna City School District Consumer Utilities,95,706177
2023,Long Beach City School District Consumer Utilities,96,1967758
2023,Middletown City School District Consumer Utilities,97,2476968
2023,Mt. Vernon City School District Consumer Utilities,98,3230904
2023,New Rochelle City School District Consumer Utilities,99,4242056
2023,Newburgh City School District Consumer Utilities,100,3688332
2023,Niagara Falls City School District Consumer Utilities,101,2477246
2023,Ogdensburg City School District Consumer Utilities,102,298405
2023,Peekskill City School District Consumer Utilities,103,1242718
2023,Poughkeepsie City School District Consumer Utilities,104,1886238
2023,Rensselaer City School District Consumer Utilities,105,490531
2023,Rye City School District Consumer Utilities,106,1097049
2023,Schenectady City School District Consumer Utilities,107,3124010
2023,Troy City School District Consumer Utilities,108,1743550
2023,Utica City School District Consumer Utilities,109,2447863
2023,Watertown City School District Consumer Utilities,110,1441563
2023,Watervliet City School District Consumer Utilities,111,456078
2023,White Plains City School District Consumer Utilities,112,4956306
2023,New York City Convention Center Development Corporation Hotel Occupancy,113,43809456
2023,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",114,2660402
2023,City of Long Beach Hotel Occupancy and Restaurant Meals,115,3620497
2023,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,9541205
2024,New York State Sales and Use Tax,1,18709013111
2024,New York City Sales and Use Tax,2,10204615336
2024,Metropolitan Commuter Transportation District Sales and Use Tax,3,1319718081
2024,Albany County Sales and Use Tax,4,357303003
2024,Allegany County Sales and Use Tax,5,30663603
2024,Broome County Sales and Use Tax,6,180917910
2024,Cattaraugus County Sales and Use Tax,7,51170556
2024,Cayuga County Sales and Use Tax,8,46489212
2024,Chautauqua County Sales and Use Tax,9,91726317
2024,Chemung County Sales and Use Tax,10,75802728
2024,Chenango County Sales and Use Tax,11,32781017
2024,Clinton County Sales and Use Tax,12,74695109
2024,Columbia County Sales and Use Tax,13,61892344
2024,Cortland County Sales and Use Tax,14,39043400
2024,Delaware County Sales and Use Tax,15,31190464
2024,Dutchess County Sales and Use Tax,16,252256594
2024,Erie County Sales and Use Tax,17,1038974182
2024,Essex County Sales and Use Tax,18,42585729
2024,Franklin County Sales and Use Tax,19,33606974
2024,Fulton County Sales and Use Tax,20,29475470
2024,Genesee County Sales and Use Tax,21,56355874
2024,Greene County Sales and Use Tax,22,48256953
2024,Hamilton County Sales and Use Tax,23,5408066
2024,Herkimer County Sales and Use Tax,24,45745400
2024,Jefferson County Sales and Use Tax,25,103725000
2024,Lewis County Sales and Use Tax,26,18089340
2024,Livingston County Sales and Use Tax,27,47789905
2024,Madison County Sales and Use Tax,28,41857344
2024,Monroe County Sales and Use Tax,29,637806619
2024,Montgomery County Sales and Use Tax,30,47019553
2024,Nassau County Sales and Use Tax,31,1561637134
2024,Niagara County Sales and Use Tax,32,168520240
2024,Oneida County Sales and Use Tax,33,196845083
2024,Onondaga County Sales and Use Tax,34,486483659
2024,Ontario County Sales and Use Tax,35,115026864
2024,Orange County Sales and Use Tax,36,390627332
2024,Orleans County Sales and Use Tax,37,23067221
2024,Oswego County Sales and Use Tax,38,62393526
2024,Otsego County Sales and Use Tax,39,50462113
2024,Putnam County Sales and Use Tax,40,89048484
2024,Rensselaer County Sales and Use Tax,41,124519791
2024,Rockland County Sales and Use Tax,42,281377520
2024,St. Lawrence County Sales and Use Tax,43,80435537
2024,Saratoga County Sales and Use Tax,44,172071280
2024,Schenectady County Sales and Use Tax,45,131508149
2024,Schoharie County Sales and Use Tax,46,24684942
2024,Schuyler County Sales and Use Tax,47,16112027
2024,Seneca County Sales and Use Tax,48,33076621
2024,Steuben County Sales and Use Tax,49,75133553
2024,Suffolk County Sales and Use Tax,50,1930876953
2024,Sullivan County Sales and Use Tax,51,78851400
2024,Tioga County Sales and Use Tax,52,33388442
2024,Tompkins County Sales and Use Tax,53,66038473
2024,Ulster County Sales and Use Tax,54,170370529
2024,Warren County Sales and Use Tax,55,73075970
2024,Washington County Sales and Use Tax,56,29691879
2024,Wayne County Sales and Use Tax,57,64328098
2024,Westchester County Sales and Use Tax,58,874486490
2024,Wyoming County Sales and Use Tax,59,26170817
2024,Yates County Sales and Use Tax,60,20573825
2024,City of Auburn Sales and Use Tax,61,10807046
2024,City of Corning Sales and Use Tax,62,929
2024,City of Fulton Sales and Use Tax,63,438
2024,City of Geneva Sales and Use Tax,64,3465
2024,City of Glens Falls Sales and Use Tax,65,4963723
2024,City of Gloversville Sales and Use Tax,66,4462695
2024,City of Hornell Sales and Use Tax,67,2408
2024,City of Ithaca Sales and Use Tax,68,14103563
2024,City of Johnstown Sales and Use Tax,69,5448836
2024,City of Mount Vernon Sales and Use Tax,70,30144118
2024,City of New Rochelle Sales and Use Tax,71,41268546
2024,City of Norwich Sales and Use Tax,72,2623022
2024,City of Ogdensburg Sales and Use Tax,73,2063360
2024,City of Olean Sales and Use Tax,74,5341381
2024,City of Oneida Sales and Use Tax,75,6947381
2024,City of Oswego Sales and Use Tax,76,21834975
2024,City of Rome Sales and Use Tax,77,10014188
2024,City of Salamanca Sales and Use Tax,78,869889
2024,City of Saratoga Springs Sales and Use Tax,79,18384725
2024,City of Sherrill Sales and Use Tax,80,85
2024,City of Utica Sales and Use Tax,81,13920344
2024,City of White Plains Sales and Use Tax,82,56623541
2024,City of Yonkers Sales and Use Tax,83,79535558
2024,City of Yonkers Special Sales and Use Tax,84,39765745
2024,City of Newburgh Consumer Utilities,85,1534842
2024,City of Port Jervis Consumer Utilities,86,474908
2024,Albany City School District Consumer Utilities,87,4762554
2024,Batavia City School District Consumer Utilities,88,886627
2024,Cohoes City School District Consumer Utilities,89,696966
2024,Glen Cove City School District Consumer Utilities,90,1517312
2024,Gloversville City School District Consumer Utilities,91,738723
2024,Hornell City School District Consumer Utilities,92,416662
2024,Hudson City School District Consumer Utilities,93,800465
2024,Johnstown City School District Consumer Utilities,94,642692
2024,Lackawanna City School District Consumer Utilities,95,795491
2024,Long Beach City School District Consumer Utilities,96,1910794
2024,Middletown City School District Consumer Utilities,97,2508098
2024,Mt. Vernon City School District Consumer Utilities,98,4585545
2024,New Rochelle City School District Consumer Utilities,99,4961849
2024,Newburgh City School District Consumer Utilities,100,3930195
2024,Niagara Falls City School District Consumer Utilities,101,2396097
2024,Ogdensburg City School District Consumer Utilities,102,407218
2024,Peekskill City School District Consumer Utilities,103,1286109
2024,Poughkeepsie City School District Consumer Utilities,104,1867890
2024,Rensselaer City School District Consumer Utilities,105,513868
2024,Rye City School District Consumer Utilities,106,1110623
2024,Schenectady City School District Consumer Utilities,107,2964164
2024,Troy City School District Consumer Utilities,108,1601659
2024,Utica City School District Consumer Utilities,109,2271663
2024,Watertown City School District Consumer Utilities,110,1356037
2024,Watervliet City School District Consumer Utilities,111,430710
2024,White Plains City School District Consumer Utilities,112,5574431
2024,New York City Convention Center Development Corporation Hotel Occupancy,113,49966881
2024,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",114,2621354
2024,City of Long Beach Hotel Occupancy and Restaurant Meals,115,4005364
2024,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,9481009
2025,New York State Sales and Use Tax,1,19096165401
2025,New York City Sales and Use Tax,2,10478287112
2025,Metropolitan Commuter Transportation District Sales and Use Tax,3,1348268052
2025,Albany County Sales and Use Tax,4,373153058
2025,Allegany County Sales and Use Tax,5,29704715
2025,Broome County Sales and Use Tax,6,190245682
2025,Cattaraugus County Sales and Use Tax,7,52122078
2025,Cayuga County Sales and Use Tax,8,48559944
2025,Chautauqua County Sales and Use Tax,9,91930844
2025,Chemung County Sales and Use Tax,10,74146293
2025,Chenango County Sales and Use Tax,11,32068717
2025,Clinton County Sales and Use Tax,12,75362702
2025,Columbia County Sales and Use Tax,13,61130375
2025,Cortland County Sales and Use Tax,14,40887912
2025,Delaware County Sales and Use Tax,15,31467634
2025,Dutchess County Sales and Use Tax,16,263559077
2025,Erie County Sales and Use Tax,17,1029512430
2025,Essex County Sales and Use Tax,18,42941871
2025,Franklin County Sales and Use Tax,19,33631166
2025,Fulton County Sales and Use Tax,20,30471992
2025,Genesee County Sales and Use Tax,21,56334616
2025,Greene County Sales and Use Tax,22,50687385
2025,Hamilton County Sales and Use Tax,23,5491364
2025,Herkimer County Sales and Use Tax,24,45617894
2025,Jefferson County Sales and Use Tax,25,104011884
2025,Lewis County Sales and Use Tax,26,18841228
2025,Livingston County Sales and Use Tax,27,48574028
2025,Madison County Sales and Use Tax,28,41907595
2025,Monroe County Sales and Use Tax,29,634168719
2025,Montgomery County Sales and Use Tax,30,49008335
2025,Nassau County Sales and Use Tax,31,1580591459
2025,Niagara County Sales and Use Tax,32,168021405
2025,Oneida County Sales and Use Tax,33,198936154
2025,Onondaga County Sales and Use Tax,34,493604628
2025,Ontario County Sales and Use Tax,35,116386269
2025,Orange County Sales and Use Tax,36,396116464
2025,Orleans County Sales and Use Tax,37,23518158
2025,Oswego County Sales and Use Tax,38,62270542
2025,Otsego County Sales and Use Tax,39,52503140
2025,Putnam County Sales and Use Tax,40,85629227
2025,Rensselaer County Sales and Use Tax,41,125589739
2025,Rockland County Sales and Use Tax,42,290528031
2025,St. Lawrence County Sales and Use Tax,43,85756096
2025,Saratoga County Sales and Use Tax,44,171868618
2025,Schenectady County Sales and Use Tax,45,139977651
2025,Schoharie County Sales and Use Tax,46,24652734
2025,Schuyler County Sales and Use Tax,47,16897922
2025,Seneca County Sales and Use Tax,48,33106316
2025,Steuben County Sales and Use Tax,49,74219442
2025,Suffolk County Sales and Use Tax,50,1940186889
2025,Sullivan County Sales and Use Tax,51,80807223
2025,Tioga County Sales and Use Tax,52,31863733
2025,Tompkins County Sales and Use Tax,53,67226906
2025,Ulster County Sales and Use Tax,54,175346949
2025,Warren County Sales and Use Tax,55,74511654
2025,Washington County Sales and Use Tax,56,30749218
2025,Wayne County Sales and Use Tax,57,66073570
2025,Westchester County Sales and Use Tax,58,939298388
2025,Wyoming County Sales and Use Tax,59,27016189
2025,Yates County Sales and Use Tax,60,20107575
2025,City of Auburn Sales and Use Tax,61,11529410
2025,City of Corning Sales and Use Tax,62,498
2025,City of Fulton Sales and Use Tax,63,123
2025,City of Geneva Sales and Use Tax,64,425
2025,City of Glens Falls Sales and Use Tax,65,5170819
2025,City of Gloversville Sales and Use Tax,66,4875389
2025,City of Hornell Sales and Use Tax,67,614
2025,City of Ithaca Sales and Use Tax,68,14695884
2025,City of Johnstown Sales and Use Tax,69,5814099
2025,City of Mount Vernon Sales and Use Tax,70,29648800
2025,City of New Rochelle Sales and Use Tax,71,43297784
2025,City of Norwich Sales and Use Tax,72,2378838
2025,City of Ogdensburg Sales and Use Tax,73,2132515
2025,City of Olean Sales and Use Tax,74,5337214
2025,City of Oneida Sales and Use Tax,75,6835729
2025,City of Oswego Sales and Use Tax,76,23163849
2025,City of Rome Sales and Use Tax,77,10256420
2025,City of Salamanca Sales and Use Tax,78,853767
2025,City of Saratoga Springs Sales and Use Tax,79,19319786
2025,City of Sherrill Sales and Use Tax,80,194
2025,City of Utica Sales and Use Tax,81,14688095
2025,City of White Plains Sales and Use Tax,82,58502639
2025,City of Yonkers Sales and Use Tax,83,83381305
2025,City of Yonkers Special Sales and Use Tax,84,41694668
2025,City of Newburgh Consumer Utilities,85,1420214
2025,City of Port Jervis Consumer Utilities,86,445320
2025,Albany City School District Consumer Utilities,87,4574192
2025,Batavia City School District Consumer Utilities,88,760625
2025,Cohoes City School District Consumer Utilities,89,666316
2025,Glen Cove City School District Consumer Utilities,90,1509488
2025,Gloversville City School District Consumer Utilities,91,712034
2025,Hornell City School District Consumer Utilities,92,359650
2025,Hudson City School District Consumer Utilities,93,801383
2025,Johnstown City School District Consumer Utilities,94,585553
2025,Lackawanna City School District Consumer Utilities,95,532593
2025,Long Beach City School District Consumer Utilities,96,2060546
2025,Middletown City School District Consumer Utilities,97,2445159
2025,Mt. Vernon City School District Consumer Utilities,98,4047603
2025,New Rochelle City School District Consumer Utilities,99,5857115
2025,Newburgh City School District Consumer Utilities,100,3131548
2025,Niagara Falls City School District Consumer Utilities,101,2261354
2025,Ogdensburg City School District Consumer Utilities,102,471987
2025,Peekskill City School District Consumer Utilities,103,1665325
2025,Poughkeepsie City School District Consumer Utilities,104,1668110
2025,Rensselaer City School District Consumer Utilities,105,529161
2025,Rye City School District Consumer Utilities,106,1601126
2025,Schenectady City School District Consumer Utilities,107,2674161
2025,Troy City School District Consumer Utilities,108,1487330
2025,Utica City School District Consumer Utilities,109,2221958
2025,Watertown City School District Consumer Utilities,110,1326374
2025,Watervliet City School District Consumer Utilities,111,429059
2025,White Plains City School District Consumer Utilities,112,5913319
2025,New York City Convention Center Development Corporation Hotel Occupancy,113,50804132
2025,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",114,2554248
2025,City of Long Beach Hotel Occupancy and Restaurant Meals,115,5155892
2025,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",116,9738722
