fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2015,Nassau County Sales and Use Tax,32,1075601388
2015,Niagara County Sales and Use Tax,33,119282056
2015,Oneida County Sales and Use Tax,34,133107577
2015,Onondaga County Sales and Use Tax,35,339021212
2015,Ontario County Sales and Use Tax,36,78796234
2015,Orange County Sales and Use Tax,37,261332770
2015,Orleans County Sales and Use Tax,38,15877952
2015,Oswego County Sales and Use Tax,39,41812359
2015,Otsego County Sales and Use Tax,40,36015719
2015,Putnam County Sales and Use Tax,41,56058374
2015,Rensselaer County Sales and Use Tax,42,79765205
2015,Rockland County Sales and Use Tax,43,195995014
2015,St. Lawrence County Sales and Use Tax,44,56906835
2015,Saratoga County Sales and Use Tax,45,111997682
2015,Schenectady County Sales and Use Tax,46,95355613
2015,Schoharie County Sales and Use Tax,47,15138160
2015,Schuyler County Sales and Use Tax,48,10170340
2015,Seneca County Sales and Use Tax,49,22918928
2015,Steuben County Sales and Use Tax,50,47325966
2015,Suffolk County Sales and Use Tax,51,1297661047
2015,Sullivan County Sales and Use Tax,52,36108864
2015,Tioga County Sales and Use Tax,53,20268170
2015,Tompkins County Sales and Use Tax,54,50114389
2015,Ulster County Sales and Use Tax,55,107017490
2015,Warren County Sales and Use Tax,56,49719792
2015,Washington County Sales and Use Tax,57,19931886
2015,Wayne County Sales and Use Tax,58,41637631
2015,Westchester County Sales and Use Tax,59,504131420
2015,Wyoming County Sales and Use Tax,60,16787898
2015,Yates County Sales and Use Tax,61,11020734
2015,City of Amsterdam Sales and Use Tax,62,8
2015,City of Auburn Sales and Use Tax,63,9126159
2015,City of Batavia Sales and Use Tax,64,780
2015,City of Canandaigua Sales and Use Tax,65,3805
2015,City of Corning Sales and Use Tax,66,2780478
2015,City of Cortland Sales and Use Tax,67,0
2015,City of Elmira Sales and Use Tax,68,14
2015,City of Fulton Sales and Use Tax,69,0
2015,City of Geneva Sales and Use Tax,70,5633
2015,City of Glen Cove Sales and Use Tax,71,0
2015,City of Glens Falls Sales and Use Tax,72,2722284
2015,City of Gloversville Sales and Use Tax,73,3676862
2015,City of Hornell Sales and Use Tax,74,2644677
2015,City of Ithaca Sales and Use Tax,75,10874900
2015,City of Johnstown Sales and Use Tax,76,4071834
2015,City of Mechanicville Sales and Use Tax,77,0
2015,City of Mount Vernon Sales and Use Tax,78,18735865
2015,City of New Rochelle Sales and Use Tax,79,26697053
2015,City of Norwich Sales and Use Tax,80,1561921
2015,City of Ogdensburg Sales and Use Tax,81,5
2015,City of Olean Sales and Use Tax,82,4334170
