block,place_fips
360010017002010,3601000
360010017002011,3601000
360010017002012,3601000
360010017003000,3601000
360010017003001,3601000
360010017003002,3601000
360010017003003,3601000
360010017003004,3601000
360010017003005,3601000
360010017003006,3601000
360010017003007,3601000
360010017003008,3601000
360010017003009,3601000
360010017003010,3601000
360010017003011,3601000
360010017003012,3601000
360010017003013,3601000
360010017003014,3601000
360010017003015,3601000
360010017003016,3601000
360010017003017,3601000
360010017003018,3601000
360010017003019,3601000
360010017003020,3601000
360010017003021,3601000
360010017003022,3601000
360010017003023,3601000
360010018021000,3601000
360010018021001,3601000
360010018021002,3601000
360010018021003,3601000
360010018021004,3601000
360010018021005,3601000
360010018021006,3601000
360010018021007,3601000
360010018021008,3601000
360010018021009,3601000
360010018021010,3601000
360010018021011,3601000
360010018022000,3601000
360010018022001,3601000
360010018022002,3601000
360010018022003,3601000
360010018022004,3601000
360010018022005,3601000
360010018022006,3601000
360010018022007,3601000
360010018022008,3601000
360010018022009,3601000
360010018022010,3601000
360010018022011,3601000
360010018022012,3601000
360010018022013,3601000
360010018022014,3601000
360010018022015,3601000
360010018022016,3601000
360010018022017,3601000
360010018022018,3601000
360010018022019,3601000
360010018022020,3601000
360010018022021,3601000
360010018022022,3601000
360010018023000,3601000
360010018023001,3601000
360010018023002,3601000
360010018023003,3601000
360010018023004,3601000
360010018023005,3601000
360010018023006,3601000
360010018023007,3601000
360010018023008,3601000
360010018023009,3601000
360010018023010,3601000
360010018023011,3601000
360010018023012,3601000
360010018023013,3601000
360010018023014,3601000
360010018023015,3601000
360010018023016,3601000
360010018023017,3601000
360010018023018,3601000
360010018023019,3601000
360010018023020,3601000
360010018023021,3601000
360010018023022,3601000
360010018023023,3601000
360010018023024,3601000
360010018023025,3601000
360010018023026,3601000
360010018023027,3601000
360010018023028,3601000
360010018023029,3601000
360010018023030,3601000
360010018023031,3601000
360010018023032,3601000
360010018023033,3601000
360010018023034,3601000
360010018031000,3601000
360010018031001,3601000
360010018031002,3601000
360010018031003,3601000
360010018031004,3601000
360010018031005,3601000
360010018031006,3601000
360010018031007,3601000
360010018032000,3601000
360010018032001,3601000
360010018032002,3601000
360010018032003,3601000
360010018032004,3601000
360010018032005,3601000
360010018032006,3601000
360010018032007,3601000
360010018032008,3601000
360010018032009,3601000
360010018032010,3601000
360010018032011,3601000
360010018032012,3601000
360010018032013,3601000
360010018032014,3601000
360010018032015,3601000
360010018032016,3601000
360010018032017,3601000
360010018032018,3601000
360010018032019,3601000
360010018033000,3601000
360010018033001,3601000
360010018033002,3601000
360010018033003,3601000
360010018033004,3601000
360010018033005,3601000
360010018033006,3601000
360010018033007,3601000
360010018033008,3601000
360010018033009,3601000
360010018033010,3601000
360010018033011,3601000
360010018033012,3601000
360010018033013,3601000
360010018033014,3601000
360010018033015,3601000
360010018033016,3601000
360010018041000,3601000
360010018041001,3601000
360010018041002,3601000
360010018041003,3601000
360010018041004,3601000
360010018041005,3601000
360010018041006,3601000
360010018041007,3601000
360010018041008,3601000
360010018041009,3601000
360010018041010,3601000
360010018041011,3601000
360010018041012,3601000
360010018041013,3601000
360010018041014,3601000
360010018041015,3601000
360010018041016,3601000
360010018041017,3601000
360010018041018,3601000
360010018041019,3601000
360010018041020,3601000
360010018041021,3601000
360010018042000,3601000
360010018042001,3601000
360010018042002,3601000
360010018042003,3601000
360010018042004,3601000
360010018042005,3601000
360010018042006,3601000
360010018042007,3601000
360010018042008,3601000
360010018042009,3601000
360010018042010,3601000
360010018042011,3601000
360010018042012,3601000
360010018042013,3601000
360010018043000,3601000
360010018043001,3601000
360010018043002,3601000
360010018043003,3601000
360010018043004,3601000
360010018043005,3601000
360010018043006,3601000
360010018043007,3601000
360010018043008,3601000
360010018043009,3601000
360010019011000,3601000
360010019011001,3601000
360010019011002,3601000
360010019011003,3601000
360010019011004,3601000
360010019011005,3601000
360010019011006,3601000
360010019011007,3601000
360010019011008,3601000
360010019011009,3601000
360010019011010,3601000
360010019011011,3601000
360010019011012,3601000
360010019012000,3601000
360010019012001,3601000
360010019012002,3601000
360010019012003,3601000
360010019012004,3601000
360010019012005,3601000
360010019012006,3601000
360010019012007,3601000
360010019012008,3601000
360010019012009,3601000
360010019012010,3601000
360010019021000,3601000
360010019021001,3601000
360010019021002,3601000
360010019021003,3601000
360010019021004,3601000
360010019021005,3601000
360010019021006,3601000
360010019021007,3601000
360010019022000,3601000
360010019022001,3601000
360010019022002,3601000
360010019022003,3601000
360010019022004,3601000
360010019022005,3601000
360010019022006,3601000
360010019022007,3601000
360010019022008,3601000
360010019022009,3601000
360010019022010,3601000
360010019022011,3601000
360010019022012,3601000
360010019023000,3601000
360010019023001,3601000
360010019023002,3601000
360010019023003,3601000
360010019023004,3601000
360010019023005,3601000
360010019023006,3601000
360010019023007,3601000
360010020001000,3601000
360010020001001,3601000
360010020001002,3601000
360010020001003,3601000
360010020001004,3601000
360010020001005,3601000
360010020001006,3601000
360010020001007,3601000
360010020002000,3601000
360010020002001,3601000
360010020002002,3601000
360010020002003,3601000
360010020002004,3601000
360010020002005,3601000
360010020002006,3601000
360010020003000,3601000
360010020003001,3601000
360010020003002,3601000
360010020003003,3601000
360010020003004,3601000
360010020003005,3601000
360010020003006,3601000
360010020003007,3601000
360010020003008,3601000
360010020004000,3601000
360010020004001,3601000
360010020004002,3601000
360010020004003,3601000
360010020004004,3601000
360010020004005,3601000
360010020004006,3601000
360010020004007,3601000
360010020005000,3601000
360010020005001,3601000
360010020005002,3601000
360010020005003,3601000
360010020005004,3601000
360010020005005,3601000
360010020005006,3601000
360010020005007,3601000
360010020005008,3601000
360010020005009,3601000
360010020005010,3601000
360010020005011,3601000
360010020005012,3601000
360010020005013,3601000
360010020005014,3601000
360010020005015,3601000
360010020005016,3601000
360010020005017,3601000
360010020005018,3601000
360010020005019,3601000
360010020005020,3601000
360010020005021,3601000
360010020005022,3601000
360010020005023,3601000
360010021001000,3601000
360010021001001,3601000
360010021001002,3601000
360010021001003,3601000
360010021001004,3601000
360010021001005,3601000
360010021001006,3601000
360010021001007,3601000
360010021001008,3601000
360010021002000,3601000
360010021002001,3601000
360010021002002,3601000
360010021002003,3601000
360010021002004,3601000
360010021002005,3601000
360010021002006,3601000
360010021002007,3601000
360010021002008,3601000
360010021002009,3601000
360010021002010,3601000
360010021002011,3601000
360010021002012,3601000
360010021002013,3601000
360010021002014,3601000
360010021003000,3601000
360010021003001,3601000
360010021003002,3601000
360010021003003,3601000
360010021003004,3601000
360010021003005,3601000
360010022001000,3601000
360010022001001,3601000
360010022001002,3601000
360010022001003,3601000
360010022001004,3601000
360010022001005,3601000
360010022001006,3601000
360010022001007,3601000
360010022001008,3601000
360010022001009,3601000
360010022002000,3601000
360010022002001,3601000
360010022002002,3601000
360010022002003,3601000
360010022002004,3601000
360010022002005,3601000
360010022002006,3601000
360010023001000,3601000
360010023001001,3601000
360010023001002,3601000
360010023001003,3601000
360010023001004,3601000
360010023001005,3601000
360010023002000,3601000
360010023002001,3601000
360010023002002,3601000
360010023002003,3601000
360010023002004,3601000
360010023002005,3601000
360010023002006,3601000
360010023002007,3601000
360010023002008,3601000
360010023002009,3601000
360010023002010,3601000
360010023002011,3601000
360010023002012,3601000
360010023002013,3601000
360010023002014,3601000
360010023002015,3601000
360010023002016,3601000
360010023002017,3601000
360010023002018,3601000
360010025001000,3601000
360010025001001,3601000
360010025001002,3601000
360010025001003,3601000
360010025001004,3601000
360010025001005,3601000
360010025001006,3601000
360010025001007,3601000
360010025001008,3601000
360010025001009,3601000
360010025001010,3601000
360010025001011,3601000
360010025001012,3601000
360010025001013,3601000
360010025001014,3601000
360010025001015,3601000
360010025001016,3601000
360010025001017,3601000
360010025001018,3601000
360010025001019,3601000
360010025001020,3601000
360010025001021,3601000
360010025001022,3601000
360010025001023,3601000
360010025001024,3601000
360010025001025,3601000
360010025001026,3601000
360010025001027,3601000
360010025001028,3601000
360010025001029,3601000
360010025001030,3601000
360010025001031,3601000
360010025002000,3601000
360010025002001,3601000
360010025002002,3601000
360010025002003,3601000
360010025002004,3601000
360010025002005,3601000
360010025002006,3601000
360010025002007,3601000
360010025002008,3601000
360010025002009,3601000
360010025002010,3601000
360010025003000,3601000
360010025003001,3601000
360010025003002,3601000
360010025003003,3601000
360010025003004,3601000
360010025003005,3601000
360010025003006,3601000
360010025003007,3601000
360010025003008,3601000
360010025003009,3601000
360010025003010,3601000
360010025003011,3601000
360010025003012,3601000
360010025003013,3601000
360010025003014,3601000
360010025003015,3601000
360010025003016,3601000
360010025003017,3601000
360010025003018,3601000
360010025004000,3601000
360010025004001,3601000
360010025004002,3601000
360010025004003,3601000
360010025004004,3601000
360010025004005,3601000
360010025004006,3601000
360010025004007,3601000
360010025004008,3601000
360010025004009,3601000
360010025004010,3601000
360010025004011,3601000
360010026001000,3601000
360010026001001,3601000
360010026001002,3601000
360010026001003,3601000
360010026001004,3601000
360010026001005,3601000
360010026001006,3601000
360010026001007,3601000
360010026001008,3601000
360010026002000,3601000
360010026002001,3601000
360010026002002,3601000
360010026002003,3601000
360010026002004,3601000
360010026002005,3601000
360010026002006,3601000
360010026003000,3601000
360010026003001,3601000
360010026003002,3601000
360010026003003,3601000
360010026003004,3601000
360010026003005,3601000
360010026003006,3601000
360010026003007,3601000
360010026003008,3601000
360010026003009,3601000
360010026003010,3601000
360010026003011,3601000
360010026003012,3601000
360010026003013,3601000
360010026003014,3601000
360010026003015,3601000
